claim_id,orid,verified,falsified,inconclusive,toy
11,06Nk3dJDMq,0,0,4,1
12,06Nk3dJDMq,0,0,4,1
13,06Nk3dJDMq,0,0,4,1
14,06Nk3dJDMq,1,0,2,2
15,06Nk3dJDMq,0,0,2,3
16,06Nk3dJDMq,1,0,1,3
17,08tW615mgI,0,0,2,0
18,08tW615mgI,0,0,2,0
19,08tW615mgI,0,0,1,1
20,08tW615mgI,0,0,1,1
21,08tW615mgI,0,0,2,0
22,08tW615mgI,0,0,1,1
23,09CSjVeDug,0,0,3,0
24,09CSjVeDug,0,0,1,2
25,09CSjVeDug,0,0,3,0
26,09CSjVeDug,0,0,3,0
27,09CSjVeDug,0,0,2,1
47,0JDzkrKzaA,1,0,1,0
48,0JDzkrKzaA,1,0,1,0
49,0JDzkrKzaA,2,0,0,0
50,0JDzkrKzaA,1,0,1,0
51,0JDzkrKzaA,1,0,1,0
52,0JDzkrKzaA,1,0,0,1
53,0JDzkrKzaA,2,0,0,0
54,0LeyqHkrEG,0,0,0,2
55,0LeyqHkrEG,0,0,0,2
56,0LeyqHkrEG,0,0,0,2
63,0Moj0YgFEF,0,0,2,0
64,0Moj0YgFEF,0,0,2,0
65,0Moj0YgFEF,0,0,2,0
66,0Moj0YgFEF,0,1,1,0
67,0Moj0YgFEF,0,0,2,0
68,0Moj0YgFEF,0,0,1,1
69,0Mvm3lqLjF,2,1,1,0
70,0Mvm3lqLjF,1,0,3,0
71,0Mvm3lqLjF,4,0,0,0
72,0Mvm3lqLjF,4,0,0,0
73,0Mvm3lqLjF,3,0,1,0
86,0QsbcZKCQ0,0,0,0,2
87,0QsbcZKCQ0,0,0,2,0
88,0QsbcZKCQ0,2,0,0,0
89,0QsbcZKCQ0,0,0,0,2
90,0QsbcZKCQ0,2,0,0,0
91,0QsbcZKCQ0,0,0,2,0
98,0S2WJSFkp0,0,0,1,1
99,0S2WJSFkp0,0,0,2,0
100,0S2WJSFkp0,0,0,2,0
101,0S2WJSFkp0,0,0,2,0
102,0S2WJSFkp0,0,1,1,0
103,0S2WJSFkp0,0,1,1,0
104,0SGle5hjIf,3,0,1,0
105,0SGle5hjIf,0,0,4,0
106,0SGle5hjIf,1,1,2,0
107,0SGle5hjIf,3,0,1,0
108,0SGle5hjIf,2,0,1,1
109,0SGle5hjIf,2,0,1,1
110,0VEeF91Fm6,0,0,2,0
111,0VEeF91Fm6,0,0,2,0
112,0VEeF91Fm6,2,0,0,0
113,0VEeF91Fm6,0,2,0,0
114,0VEeF91Fm6,0,2,0,0
115,0VEeF91Fm6,0,2,0,0
116,0Y7itV1kb7,1,0,1,0
117,0Y7itV1kb7,0,0,2,0
118,0Y7itV1kb7,0,0,2,0
119,0Y7itV1kb7,0,0,2,0
120,0Y7itV1kb7,0,0,2,0
121,0Y7itV1kb7,1,0,1,0
122,0nrxgFZEEq,1,0,0,1
123,0nrxgFZEEq,1,0,1,0
150,0tgzJK50Jz,0,0,3,0
151,0tgzJK50Jz,0,0,2,1
152,0tgzJK50Jz,0,0,3,0
153,0tgzJK50Jz,0,0,3,0
154,0tgzJK50Jz,1,0,1,1
156,0ujhEWEeAc,9,0,2,1
157,0ujhEWEeAc,8,0,2,2
158,0ujhEWEeAc,8,0,1,3
159,0ujhEWEeAc,10,0,1,1
162,0ujhEWEeAc,5,0,5,2
163,0ujhEWEeAc,6,0,3,3
177,0xOj6kVMbb,0,1,2,0
178,0xOj6kVMbb,3,0,0,0
179,0xOj6kVMbb,1,0,1,1
180,0xOj6kVMbb,0,0,2,1
181,0xOj6kVMbb,3,0,0,0
200,15SdFmonYz,0,0,2,0
203,15SdFmonYz,0,0,1,1
206,15SdFmonYz,0,0,2,0
214,1AyRuF9ULp,0,0,0,2
215,1AyRuF9ULp,2,0,0,0
216,1AyRuF9ULp,2,0,0,0
217,1BchRVONfp,11,0,6,1
218,1BchRVONfp,0,0,2,0
219,1BchRVONfp,15,0,2,1
220,1BchRVONfp,11,1,6,0
221,1BchRVONfp,2,0,0,0
222,1BchRVONfp,0,0,2,0
223,1BchRVONfp,16,0,1,1
224,1BchRVONfp,15,0,2,1
225,1BchRVONfp,11,0,6,1
234,1JG0y5cOmK,2,0,0,0
235,1JG0y5cOmK,2,0,0,0
236,1JG0y5cOmK,0,0,0,2
237,1JG0y5cOmK,2,0,0,0
238,1JwSFRvC4E,1,0,0,1
239,1JwSFRvC4E,1,0,0,1
240,1JwSFRvC4E,1,0,0,1
241,1JwSFRvC4E,0,0,0,2
242,1JwSFRvC4E,2,0,0,0
243,1KRpajnd6u,2,0,2,2
244,1KRpajnd6u,2,0,2,2
245,1KRpajnd6u,3,1,1,1
246,1KRpajnd6u,5,0,0,1
247,1KRpajnd6u,4,0,1,1
248,1KRpajnd6u,6,0,0,0
256,1YCpxT3t5V,0,0,0,2
257,1YCpxT3t5V,0,0,2,0
258,1YCpxT3t5V,1,0,0,1
259,1YCpxT3t5V,2,0,0,0
260,1YCpxT3t5V,2,0,0,0
261,1YCpxT3t5V,1,0,0,1
262,1ZIjW3LFcH,2,0,0,0
263,1ZIjW3LFcH,2,0,0,0
264,1ZIjW3LFcH,2,0,0,0
265,1dfBRJVswL,0,0,1,1
266,1dfBRJVswL,0,0,1,1
267,1dfBRJVswL,0,0,2,0
268,1dfBRJVswL,0,0,0,2
269,1dfBRJVswL,0,0,1,1
270,1dfBRJVswL,2,0,0,0
271,1ebAvNphi7,0,0,3,1
272,1ebAvNphi7,0,0,3,1
273,1ebAvNphi7,0,0,3,1
274,1ebAvNphi7,0,0,2,2
275,1ebAvNphi7,0,0,3,1
276,1ebAvNphi7,0,0,3,1
277,1rSqVUl7l3,2,0,0,0
278,1rSqVUl7l3,0,0,2,0
279,1rSqVUl7l3,0,0,2,0
280,1rSqVUl7l3,0,0,0,2
281,1rSqVUl7l3,0,0,2,0
282,1rSqVUl7l3,0,0,2,0
283,1tbhBSXcyX,0,0,2,1
284,1tbhBSXcyX,0,0,0,3
285,1tbhBSXcyX,0,0,2,1
286,1tbhBSXcyX,0,0,1,2
287,1tbhBSXcyX,0,0,1,2
288,1tbhBSXcyX,0,0,2,1
289,1wnPjWrw18,0,0,2,0
290,1wnPjWrw18,0,0,1,1
291,1wnPjWrw18,0,0,1,1
292,1wnPjWrw18,0,0,1,1
293,1wnPjWrw18,0,0,2,0
294,1wnPjWrw18,0,0,1,1
297,20hdQQQrA4,5,0,7,1
298,20hdQQQrA4,3,4,5,1
299,20hdQQQrA4,7,1,2,3
301,20hdQQQrA4,8,0,2,3
302,20hdQQQrA4,9,0,2,2
316,28nj9x9hLa,9,0,1,0
317,28nj9x9hLa,9,0,1,0
318,28nj9x9hLa,8,0,1,1
319,28nj9x9hLa,7,0,2,1
320,28nj9x9hLa,7,0,3,0
321,29sn1uqWn3,2,0,2,1
322,29sn1uqWn3,1,0,1,3
323,29sn1uqWn3,0,0,4,1
324,29sn1uqWn3,2,0,0,3
326,29sn1uqWn3,2,0,0,3
328,29sn1uqWn3,2,0,0,3
329,2A9FaOnzby,3,0,0,0
330,2A9FaOnzby,0,3,0,0
331,2A9FaOnzby,3,0,0,0
332,2A9FaOnzby,0,3,0,0
333,2A9FaOnzby,3,0,0,0
334,2A9FaOnzby,3,0,0,0
349,2Nfr4u3pK2,3,0,0,0
350,2Nfr4u3pK2,3,0,0,0
351,2Nfr4u3pK2,3,0,0,0
352,2Nfr4u3pK2,3,0,0,0
353,2Nfr4u3pK2,1,0,1,1
354,2Nfr4u3pK2,3,0,0,0
370,2RIk96qJcc,8,0,1,1
371,2RIk96qJcc,8,0,1,1
372,2RIk96qJcc,9,0,1,0
373,2RIk96qJcc,9,0,1,0
374,2RIk96qJcc,9,0,1,0
375,2RJN5vDHG0,2,0,1,1
376,2RJN5vDHG0,0,0,4,0
377,2RJN5vDHG0,2,0,1,1
378,2RJN5vDHG0,2,0,1,1
379,2RJN5vDHG0,1,0,1,2
385,2T0kl2qQKB,0,0,1,1
386,2T0kl2qQKB,0,0,2,0
387,2T0kl2qQKB,0,0,1,1
388,2UH01A9Za0,0,0,4,0
389,2UH01A9Za0,0,0,4,0
390,2UH01A9Za0,0,0,3,1
391,2UH01A9Za0,0,0,1,3
392,2UH01A9Za0,0,0,3,1
413,2XMLJj67yY,5,0,1,1
414,2XMLJj67yY,5,0,1,1
415,2XMLJj67yY,6,0,0,1
416,2XMLJj67yY,7,0,0,0
417,2XMLJj67yY,6,0,1,0
418,2Z7ZvoRN8Z,0,0,0,3
419,2Z7ZvoRN8Z,1,0,1,1
420,2Z7ZvoRN8Z,1,0,1,1
421,2Z7ZvoRN8Z,2,0,1,0
422,2Z7ZvoRN8Z,2,0,0,1
423,2azIa9tfl3,0,0,6,2
424,2azIa9tfl3,2,0,2,4
425,2azIa9tfl3,4,0,2,2
426,2azIa9tfl3,0,0,8,0
427,2hGL0nGPLu,1,0,0,1
428,2hGL0nGPLu,2,0,0,0
429,2hGL0nGPLu,0,0,0,2
430,2hGL0nGPLu,2,0,0,0
431,2hGL0nGPLu,2,0,0,0
