space_id,band,claim_idx,rep1,rep2,archived,both_present,agree
Edd16/icml2026-zCkFbxKeF5-repro,m=2,1,toy,toy,toy,True,True
Edd16/icml2026-zCkFbxKeF5-repro,m=2,2,toy,toy,toy,True,True
Edd16/icml2026-zCkFbxKeF5-repro,m=2,3,toy,toy,toy,True,True
sugan04/ICML2026_83_repro,m=2,1,inconclusive,inconclusive,inconclusive,True,True
sugan04/ICML2026_83_repro,m=2,2,inconclusive,inconclusive,falsified,True,True
sugan04/ICML2026_83_repro,m=2,3,inconclusive,inconclusive,inconclusive,True,True
sugan04/ICML2026_83_repro,m=2,4,inconclusive,inconclusive,inconclusive,True,True
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,1,toy,verified,verified,True,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,2,inconclusive,toy,inconclusive,True,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,3,inconclusive,inconclusive,inconclusive,True,True
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,4,toy,verified,toy,True,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,5,inconclusive,toy,inconclusive,True,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,6,falsified,falsified,toy,True,True
binzhango/repro-less-token-more-signal-step-judge,m=2,1,falsified,falsified,toy,True,True
binzhango/repro-less-token-more-signal-step-judge,m=2,2,falsified,falsified,toy,True,True
Srishti280992/repro-strat-reasoner,m=2,1,falsified,falsified,inconclusive,True,True
Srishti280992/repro-strat-reasoner,m=2,2,verified,verified,verified,True,True
Srishti280992/repro-strat-reasoner,m=2,3,verified,verified,verified,True,True
Srishti280992/repro-strat-reasoner,m=2,4,toy,toy,toy,True,True
Srishti280992/repro-strat-reasoner,m=2,5,toy,toy,toy,True,True
Srishti280992/repro-strat-reasoner,m=2,6,verified,verified,verified,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,1,toy,toy,toy,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,2,toy,toy,toy,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,3,inconclusive,inconclusive,inconclusive,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,4,inconclusive,inconclusive,toy,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,5,toy,toy,toy,True,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,6,inconclusive,inconclusive,inconclusive,True,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,1,toy,toy,toy,True,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,2,toy,toy,toy,True,True
ICML-2026-agent-repro/simplegpt-repro-logbook,m=2,3,toy,toy,inconclusive,True,True
