arm,band,orid,space_id,sha,paper_title,inscope_claims,total_claims,judged_at,group
control_dup_sha,m=3-5,29sn1uqWn3,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,09a801d6fb91f39d747eab5a0163542a53aaec41,Why Are Linear RNNs More Parallelizable?,6,6,2026-07-23T09:54:00+00:00,09a801d6fb
control_dup_sha,m=3-5,29sn1uqWn3,vimarsh/repro-why-linear-rnns-more-parallelizable,09a801d6fb91f39d747eab5a0163542a53aaec41,Why Are Linear RNNs More Parallelizable?,6,6,2026-07-23T19:08:06+00:00,09a801d6fb
control_dup_sha,m>10,2iDtIht7W4,AceVikings/repro-13581-nb2-lr-optimization,0c20cb898d84491206e817e9c95050f5b2d6469d,A Sketch-and-Project Analysis of Subsampled Natural Gradient Algorithms,6,6,2026-07-20T04:34:02+00:00,0c20cb898d
control_dup_sha,m>10,2iDtIht7W4,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,0c20cb898d84491206e817e9c95050f5b2d6469d,A Sketch-and-Project Analysis of Subsampled Natural Gradient Algorithms,6,6,2026-07-20T04:42:44+00:00,0c20cb898d
control_dup_sha,m=3-5,iEtOxzAs51,ICML-2026-agent-repro/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1d17d5fa14840284d30f3ed2c6db3d1512ce6acb,SGERA: Stein-Guided ECG-Report Alignment for ECG Representation Learning,3,3,2026-07-22T19:22:03+00:00,1d17d5fa14
control_dup_sha,m=3-5,iEtOxzAs51,bsenst/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1d17d5fa14840284d30f3ed2c6db3d1512ce6acb,SGERA: Stein-Guided ECG-Report Alignment for ECG Representation Learning,3,3,2026-07-22T19:13:46+00:00,1d17d5fa14
control_dup_sha,m=2,IalpB5Mzaz,bsenst/Time-Conditioned-Foreseeing-An-EHR-Specific-Foundation-Model,6b4db58ff5ec9b53b7ba9c2ac5883b79a73e7bde,Time-Conditioned Foreseeing: An EHR-Specific Foundation Model for Irregular Dynamics and Calendrical Time,3,3,2026-07-27T16:21:03+00:00,6b4db58ff5
control_dup_sha,m=2,IalpB5Mzaz,bsenst/working,6b4db58ff5ec9b53b7ba9c2ac5883b79a73e7bde,Time-Conditioned Foreseeing: An EHR-Specific Foundation Model for Irregular Dynamics and Calendrical Time,3,3,2026-07-26T09:15:18+00:00,6b4db58ff5
control_dup_sha,m=2,iJDJCO4mji,arthrod/repro-mmbert-annealed-multilingual-encoder,cf6521b3d3e7fd378f6ed139c727f5912024d85a,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning,6,6,2026-07-24T14:30:54+00:00,cf6521b3d3
control_dup_sha,m=2,iJDJCO4mji,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,cf6521b3d3e7fd378f6ed139c727f5912024d85a,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning,6,6,2026-07-22T21:04:24+00:00,cf6521b3d3
