orid,sha,space_id,idx,claim,archived,rep1,rep2
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,1,"Any language recognized by a linear RNN (LRNN) over the rationals lies in PNC1, meaning LRNNs can be simulated by log-depth arithmetic circuits (Theorem 3, Section 4).",inconclusive,inconclusive,inconclusive
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,2,"LRNNs require only O(log n log* n) depth NC circuits, an O(log* n) overhead beyond the O(log n) depth of transformers/TC0 circuits (Corollary 5, Section 4).",toy,toy,toy
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,3,"Log-precision nonlinear RNNs can solve sorted deterministic graph connectivity, an L-complete problem, requiring Omega(log^2 n) depth and revealing a fundamental parallelization barrier absent in LRNNs (Theorem 2, Section 3.2).",toy,toy,toy
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,4,"Poly-precision nonlinear RNNs can express P-complete problems under FO reductions, implying no efficient parallel algorithm exists for them unless P=NC (Corollary 2, Section 3.1).",toy,toy,toy
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,5,"DPLR-based LRNN architectures such as RWKV-7 and DeltaNet can solve the PNC1-complete iterated 3x3 matrix multiplication problem using only 4 layers (Theorem 5, Section 5.1).",toy,toy,toy
29sn1uqWn3,09a801d6fb,ICML-2026-agent-repro/repro-why-linear-rnns-more-parallelizable,6,"Experiments show nonlinear RNNs generalize on the L-complete graph connectivity task while transformers and Mamba fail to solve it, matching the theoretical complexity separation (Figure 2, Section 6).",inconclusive,inconclusive,inconclusive
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,1,"Any language recognized by a linear RNN (LRNN) over the rationals lies in PNC1, meaning LRNNs can be simulated by log-depth arithmetic circuits (Theorem 3, Section 4).",inconclusive,inconclusive,inconclusive
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,2,"LRNNs require only O(log n log* n) depth NC circuits, an O(log* n) overhead beyond the O(log n) depth of transformers/TC0 circuits (Corollary 5, Section 4).",toy,toy,toy
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,3,"Log-precision nonlinear RNNs can solve sorted deterministic graph connectivity, an L-complete problem, requiring Omega(log^2 n) depth and revealing a fundamental parallelization barrier absent in LRNNs (Theorem 2, Section 3.2).",toy,toy,toy
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,4,"Poly-precision nonlinear RNNs can express P-complete problems under FO reductions, implying no efficient parallel algorithm exists for them unless P=NC (Corollary 2, Section 3.1).",toy,toy,toy
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,5,"DPLR-based LRNN architectures such as RWKV-7 and DeltaNet can solve the PNC1-complete iterated 3x3 matrix multiplication problem using only 4 layers (Theorem 5, Section 5.1).",toy,toy,toy
29sn1uqWn3,09a801d6fb,vimarsh/repro-why-linear-rnns-more-parallelizable,6,"Experiments show nonlinear RNNs generalize on the L-complete graph connectivity task while transformers and Mamba fail to solve it, matching the theoretical complexity separation (Figure 2, Section 6).",inconclusive,inconclusive,inconclusive
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,1,"For linear least-squares problems, subsampled natural gradient descent (SNGD) is shown to be directly equivalent to the regularized Kaczmarz method, and SPRING is equivalent to the Nesterov-accelerated regularized Kaczmarz (ARK) method (Theorem 1).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,2,"SNGD converges at rate (1-α)^t where α=λ_min(P̄), while SPRING converges at rate O((1-√(α/β))^t), giving up to a square-root improvement in iteration complexity over SNGD (Theorem 1).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,3,"For general quadratic losses, SNGD requires the regularization parameter λ to exceed a threshold λ0 to guarantee convergence, and can diverge if regularization is insufficient (Proposition 3).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,4,"Under an assumption that the regularized projector P̄ shares an eigenbasis with J^T J, SNGD provably outperforms SGD by a factor of k^β when the spectrum of the Jacobian decays polynomially (Theorem 4).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,5,"A unified algorithm (Algorithm 1) captures both SNGD (momentum μ=0) and SPRING (μ∈(0,1)) as momentum-based updates using subsampled Jacobians, enabling single-minibatch convergence guarantees of any batch size.",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-13581-nb2-lr-optimization,6,"Analysis of SPRING's convergence for general (non-least-squares) quadratic losses is left open as Conjecture 7, despite numerical experiments showing large empirical performance gains over SNGD.",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,1,"For linear least-squares problems, subsampled natural gradient descent (SNGD) is shown to be directly equivalent to the regularized Kaczmarz method, and SPRING is equivalent to the Nesterov-accelerated regularized Kaczmarz (ARK) method (Theorem 1).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,2,"SNGD converges at rate (1-α)^t where α=λ_min(P̄), while SPRING converges at rate O((1-√(α/β))^t), giving up to a square-root improvement in iteration complexity over SNGD (Theorem 1).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,3,"For general quadratic losses, SNGD requires the regularization parameter λ to exceed a threshold λ0 to guarantee convergence, and can diverge if regularization is insufficient (Proposition 3).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,4,"Under an assumption that the regularized projector P̄ shares an eigenbasis with J^T J, SNGD provably outperforms SGD by a factor of k^β when the spectrum of the Jacobian decays polynomially (Theorem 4).",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,5,"A unified algorithm (Algorithm 1) captures both SNGD (momentum μ=0) and SPRING (μ∈(0,1)) as momentum-based updates using subsampled Jacobians, enabling single-minibatch convergence guarantees of any batch size.",verified,verified,verified
2iDtIht7W4,0c20cb898d,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,6,"Analysis of SPRING's convergence for general (non-least-squares) quadratic losses is left open as Conjecture 7, despite numerical experiments showing large empirical performance gains over SNGD.",verified,verified,verified
iEtOxzAs51,1d17d5fa14,bsenst/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1,SGERA leverages Stein kernels to provide rigorous geometric alignment in latent space for ECG representation learning,toy,toy,toy
