arm,band,orid,space_id,sha,paper_title,inscope_claims,total_claims,judged_at
control_dup_sha,m=6-10,68AMoK2YNk,rdubwiley/68AMoK2YNk,1b5d605d9dec3e1167e6a70a0218758f4fae2c20,Understanding Generalization and Forgetting in In-Context Continual Learning,3,3,2026-07-15T22:02:19+00:00
control_dup_sha,m>10,J0y3sNbo9G,rdubwiley/J0y3sNbo9G,8aba6f2326d59ac08c1222a3eba258a755edac97,Theoretical Investigation on Inductive Bias of Isolation Forest,3,3,2026-07-16T00:26:01+00:00
control_dup_sha,m>10,jl2f2Y3iuC,rdubwiley/jl2f2Y3iuC,913699f1d9e7f379a8b52c8441bac1b85770687b,Fine-Tuning Without Forgetting In-Context Learning: A Theoretical Analysis of Linear Attention Models,3,3,2026-07-16T00:27:14+00:00
control_dup_sha,m=6-10,N9nlCRUiir,rdubwiley/black-box-assisted-regression-phase-transitions-and-minimax-optimality-repro,158171053492367d6d4bdf500167c3c54c60a0e1,Black-Box Assisted Regression: Phase Transitions and Minimax Optimality,0,2,2026-07-16T00:57:19+00:00
control_dup_sha,m>10,SGTLVjx3MN,rdubwiley/stability-beyond-bounded-differences-sharp-generalization-bounds-under-finite-l-p-repro,f69d7a48721051b934b4738661c05713ae0d9d1a,Stability beyond Bounded Differences: Sharp Generalization Bounds under Finite $L_p$ Moments,0,2,2026-07-16T01:33:39+00:00
control_dup_sha,m>10,2iDtIht7W4,AceVikings/repro-13581-nb2-lr-optimization,0c20cb898d84491206e817e9c95050f5b2d6469d,A Sketch-and-Project Analysis of Subsampled Natural Gradient Algorithms,6,6,2026-07-20T04:34:02+00:00
control_dup_sha,m>10,2iDtIht7W4,AceVikings/repro-a-sketch-and-project-analysis-of-subsampled-natural-gradient-algorithms,0c20cb898d84491206e817e9c95050f5b2d6469d,A Sketch-and-Project Analysis of Subsampled Natural Gradient Algorithms,6,6,2026-07-20T04:42:44+00:00
control_dup_sha,m=3-5,iEtOxzAs51,bsenst/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1d17d5fa14840284d30f3ed2c6db3d1512ce6acb,SGERA: Stein-Guided ECG-Report Alignment for ECG Representation Learning,3,3,2026-07-22T19:13:46+00:00
control_dup_sha,m=3-5,iEtOxzAs51,ICML-2026-agent-repro/repro-sgera-stein-guided-ecg-report-alignment-for-ecg-representation-learning,1d17d5fa14840284d30f3ed2c6db3d1512ce6acb,SGERA: Stein-Guided ECG-Report Alignment for ECG Representation Learning,3,3,2026-07-22T19:22:03+00:00
control_dup_sha,m=2,iJDJCO4mji,arthrod/repro-mmbert-annealed-multilingual-encoder-revision,cf6521b3d3e7fd378f6ed139c727f5912024d85a,mmBERT: A Modern Multilingual Encoder with Annealed Language Learning,6,6,2026-07-22T21:04:24+00:00
