space_id,band,orid,claim_idx,n_claims,in_pilot,rep1,rep2,archived,agree
Edd16/icml2026-zCkFbxKeF5-repro,m=2,zCkFbxKeF5,1,3,True,toy,toy,toy,True
Edd16/icml2026-zCkFbxKeF5-repro,m=2,zCkFbxKeF5,2,3,True,toy,toy,toy,True
Edd16/icml2026-zCkFbxKeF5-repro,m=2,zCkFbxKeF5,3,3,True,toy,toy,toy,True
sugan04/ICML2026_83_repro,m=2,TxHOT32Maj,1,4,True,inconclusive,inconclusive,inconclusive,True
sugan04/ICML2026_83_repro,m=2,TxHOT32Maj,2,4,True,inconclusive,inconclusive,falsified,True
sugan04/ICML2026_83_repro,m=2,TxHOT32Maj,3,4,True,inconclusive,inconclusive,inconclusive,True
sugan04/ICML2026_83_repro,m=2,TxHOT32Maj,4,4,True,inconclusive,inconclusive,inconclusive,True
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,1,6,True,toy,verified,verified,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,2,6,True,inconclusive,toy,inconclusive,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,3,6,True,inconclusive,inconclusive,inconclusive,True
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,4,6,True,toy,verified,toy,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,5,6,True,inconclusive,toy,inconclusive,False
Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,m=2,hFocSMm1Ke,6,6,True,falsified,falsified,toy,True
binzhango/repro-less-token-more-signal-step-judge,m=2,4iupzej9nT,1,2,True,falsified,falsified,toy,True
binzhango/repro-less-token-more-signal-step-judge,m=2,4iupzej9nT,2,2,True,falsified,falsified,toy,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,1,6,True,falsified,falsified,inconclusive,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,2,6,True,verified,verified,verified,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,3,6,True,verified,verified,verified,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,4,6,True,toy,toy,toy,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,5,6,True,toy,toy,toy,True
Srishti280992/repro-strat-reasoner,m=2,V0eGsz18uZ,6,6,True,verified,verified,verified,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,1,6,True,toy,toy,toy,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,2,6,True,toy,toy,toy,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,3,6,True,inconclusive,inconclusive,inconclusive,True
Edd16/icml2026-NUDNFusCDu-repro,m=2,NUDNFusCDu,4,6,True,inconclusive,inconclusive,toy,True
