In-text citation (APA 7),Title,Year,Venue,Peer-reviewed,Domain,Design,Reliability metric,Reported value,"Relevance to 70.1% / 5,084-claim corpus",DOI
Chen et al. (2025),A Multiagent Summarization and Auto-Evaluation Framework for Medical Text: Development and Evaluation Study,2025,JMIR AI,Yes,Medical text summarisation,Expert panel + GPT-4 judge,Expert agreement rate,"average agreement 19.2% among all experts, 54% among groups of 3; GPT-4 agreed 83.06% with at least one expert",Human-expert disagreement of ~80.8% exceeds the 70.1% corpus figure - strongest single argument that high disagreement is task-intrinsic,10.2196/75932
Y. Wang et al. (2025),TrustJudge: Inconsistencies of LLM-as-a-Judge and How to Alleviate Them,2025,arXiv,No (preprint),General judge protocols,Llama-3.1-70B judge,Internal inconsistency rates,Score-Comparison inconsistency 23.32% (reduced to 14.89%); Pairwise Transitivity inconsistency 15.22% (reduced to 4.40%),Decomposes disagreement into protocol-induced logical inconsistency - a partly remediable share,10.48550/arXiv.2509.21117
R. Wang et al. (2025),Can LLMs Replace Human Evaluators? An Empirical Study of LLM-as-a-Judge in Software Engineering,2025,Proceedings of the ACM on software engineering.,Yes,Software engineering,Code translation and generation,Pearson correlation,81.32 (translation) and 68.51 (generation) with human scores,Peer-reviewed upper bound for judge-human correlation on a semi-objective construct,10.1145/3728963
Meisenbacher et al. (2025),LLM-as-a-Judge for Privacy Evaluation? Exploring the Alignment of Human and LLM Perceptions of Privacy in Textual Data,2025,Proceedings of HAIPS '25 (ACM workshop co-located with CCS 2025),"Yes, workshop paper",Textual privacy perception,"10 datasets, 13 LLMs, 677 human participants",Inter-human agreement,generally low inter-human agreement rates on privacy,"Construct-level unreliability located in the instrument, not the judge",10.1145/3733816.3760760
Thakur et al. (2025),Assessing Support for the TREC 2024 RAG Track: A Large-Scale Comparative Study of LLM and Human Evaluations,2025,Proceedings of SIGIR 2025 (ACM),Yes,RAG support assessment,Large-scale LLM vs human judgments,Correlation of judges,an independent human judge correlates better with GPT-4o than with another human judge,Direct evidence that human-human disagreement can exceed human-machine disagreement,10.1145/3726302.3730165
Keith (2025),LLM-as-a-Judge Approaches as Proxies for Mathematical Coherence in Narrative Extraction,2025,Electronics,Yes,Narrative extraction,"LLM judges, 2 datasets",ICC; Pearson,ICC > 0.92 among judges; Pearson up to 0.65 with the ground-truth construct,Reliability-validity dissociation: judges agree with each other far more than with the construct,10.3390/electronics14132735
Croxford et al. (2025),Evaluating clinical AI summaries with large language models as judges,2025,npj Digital Medicine,Yes,Clinical summarisation,LLM judges vs human evaluators,ICC,"GPT-o3-mini ICC = 0.818 (95% CI 0.772-0.854), median score difference 0",High-IF journal upper bound on achievable judge-human reliability with a constrained rubric,10.1038/s41746-025-02005-2
Zhou et al. (2025),PersonaEval: Are LLM Evaluators Human Enough to Judge Role-Play?,2025,arXiv,No (preprint),Role-play evaluation,LLM judges vs human study,Accuracy,best LLMs ~69%; humans 90.8%,Explicit human-ceiling contrast: ~22 pp gap,10.48550/arXiv.2508.10014
Sarkar (2026),A Four-Axis Trustworthiness Benchmark for LLM-as-Judge in Principle-Based Regulation,2026,arXiv,No (preprint),Principle-based financial regulation,"Two judges from different model families, stressed inputs",Cohen's kappa,cross-family agreement kappa = 0.16 on the keyword-stuffed split; lead judge loses 47 accuracy points (0.74 to 0.27),Shows disagreement concentrates in adversarial/stressed strata - argues for stratified reporting of the 70.1%,10.48550/arXiv.2608.14329
Dussert (2026),Who judges the judges? Governance from metrics: a runtime framework for continuous LLM compliance monitoring,2026,arXiv,No (preprint),Runtime LLM compliance monitoring,Multiple open models across criteria,Agreement rate,51.5% (mistral:7b) to 69.1% (phi4-mini),Governance-facing analogue; 30.9-48.5% disagreement with no dominant model,10.48550/arXiv.2605.24737
Mukherjee et al. (2026),The Geometry of LLM-as-Judge: Why Inter-LLM Consensus Is Not Human Alignment,2026,arXiv (Cornell University),No (preprint),"Indic benchmarks, 4 domains, 8 languages","42 judges, reference-matched against two-rater mean",Judge-human vs human-human agreement ratio,"judges agree with each other as much as humans do, but reach only 58-66% of human agreement on subjective rubrics",Shows inter-judge consensus is not evidence of validity - the key confound when interpreting a low disagreement rate,10.48550/arxiv.2606.03043
Norman et al. (2026),"Reliability without Validity: A Systematic, Large-Scale Evaluation of LLM-as-a-Judge Models Across Agreement, Consistency, and Bias",2026,arXiv,No (preprint),"LLM eval (MT-Bench, JudgeBench, RewardBench)","21 judges, 9 providers, 118 runs, ~541,000 judgments",Exact-match vs Cohen's kappa gap,kappa deflation 33-41 pp on MT-Bench; test-retest >0.95 alongside position bias >0.10,Largest judge meta-evaluation to date; shows raw agreement overstates judge skill - the deflation correction to apply to any raw disagreement rate,10.48550/arXiv.2606.19544
Soumik (2026),Judging the Judges: A Systematic Evaluation of Bias Mitigation Strategies in LLM-as-a-Judge Pipelines,2026,arXiv,No (preprint),Bias-mitigation pipelines,Multiple judge configurations,Judge-human agreement; Cohen's kappa,best configuration 71.0% agreement (kappa = 0.549),Best-case agreement ceiling after debiasing: ~29% residual disagreement,10.48550/arXiv.2604.23178
