arm,band,orid,space_id,sha,paper_title,inscope_claims,total_claims,judged_at
primary,m=2,zCkFbxKeF5,Edd16/icml2026-zCkFbxKeF5-repro,03293850b2cd11bae14e61d58ac43ecb050d1189,Precision-Induced Miscalibration: Understanding and Correcting Confidence Distortion in Quantized Neural Networks,3,3,2026-07-26T02:44:17+00:00
primary,m=2,TxHOT32Maj,sugan04/ICML2026_83_repro,086867b0702fe23f233f453cbd88cb1a50067452,Social Hippocampus Memory Learning,4,4,2026-07-22T22:25:40+00:00
primary,m=2,hFocSMm1Ke,Sor0ush/repro-gauge-equivariant-graph-networks-self-interference-cancellation,84aa5f9ebf79ab1536016f4f24e5e38e5c79937d,Gauge-Equivariant Graph Networks via Self-Interference Cancellation,6,6,2026-07-24T14:32:25+00:00
primary,m=2,4iupzej9nT,binzhango/repro-less-token-more-signal-step-judge,df3d10cf31e183f73c44007eea755171f5b1c933,"Less Token, More Signal: MoE Expert Pruning via Critical Token Selection",2,2,2026-07-18T13:44:56+00:00
primary,m=2,V0eGsz18uZ,Srishti280992/repro-strat-reasoner,3e418c14cc228044690d099f7ee42bb30a64b23c,Strat-Reasoner: Reinforcing Strategic Reasoning of LLMs in Multi-Agent Games,6,6,2026-07-22T01:30:57+00:00
primary,m=2,NUDNFusCDu,Edd16/icml2026-NUDNFusCDu-repro,ad17d8b230f6e7d693080c2ad372b216db89903f,Training-Free Adversarial Robustness in Computational MRI,6,6,2026-08-02T01:26:05+00:00
primary,m=2,bT6JcLswlW,ICML-2026-agent-repro/simplegpt-repro-logbook,0cc8a32521fbfae8645600cde64ff40b4b513497,SimpleGPT: Improving GPT via A Simple Normalization Strategy,6,6,2026-07-23T19:06:07+00:00
primary,m=2,xrXxqLadvS,divaspoudel/repro-physics-from-video-identifiability,b55b76bc31aaaa58cf7479187ff20ff82a6ccd79,Physics from Video: Identifiability of Time-Invariant Second-Order ODEs under Minimal Trajectory Conditions,5,5,2026-07-29T13:32:46+00:00
primary,m=2,O88FCPAPAj,imcypr/O88FCPAPAj,e3341a10ac8e01cb46fc6e0b487f09a5928881b7,Ranking Free RAG: Replacing Re-ranking with Selection in RAG for Sensitive Domains,5,5,2026-07-24T03:53:17+00:00
primary,m=2,JiB2eXY8fT,RyeCatcher/repro-keeping-a-secret-requires-a-good-memory-unconditional-streaming-lower-bounds-for-different,07cc266c50883c4395021d26eff9566ff3cf1f85,Keeping a Secret Requires a Good Memory: Unconditional Streaming Lower-Bounds for Differentially Private Algorithms,5,5,2026-07-29T08:12:26+00:00
primary,m=2,hGcJZQSgLo,RyeCatcher/repro-deep-networks-learn-deep-hierarchical-models,ba205491a2594340a88fefbd35e577151d61155b,Deep Networks Learn Deep Hierarchical Models,5,5,2026-07-30T15:18:04+00:00
primary,m=2,emDhH9VFqm,SabaPivot/repro-renf-rethinking-the-design-of-neural-long-term-time-series-forecasters,f9fd6b2e7c24246411820b426ea1496934b99b19,ReNF: Rethinking the Design of Neural Long-Term Time Series Forecasters,6,6,2026-07-31T04:15:49+00:00
primary,m=2,7Oc4ARFCTV,jomasego/repro-temper-then-tilt,830b01549b2760b3ee3255d79f5191c1be7ec58c,Temper-Then-Tilt: Principled Unlearning for Generative Models through Tempering and Classifier Guidance,6,6,2026-07-24T10:23:21+00:00
